file,x,nPoints,meanUmag,meanP
xNormal_m01000.vtp,-0.1,104257,,
xNormal_m03000.vtp,-0.3,99451,,
xNormal_m05000.vtp,-0.5,39470,,
xNormal_m07000.vtp,-0.7,64194,,
xNormal_m09000.vtp,-0.9,24847,,
xNormal_m11000.vtp,-1.1,16981,,
xNormal_m13000.vtp,-1.3,14152,,
xNormal_m15000.vtp,-1.5,8303,,
xNormal_p01000.vtp,0.1,117851,,
xNormal_p03000.vtp,0.3,97100,,
xNormal_p05000.vtp,0.5,68425,,
xNormal_p07000.vtp,0.7,75073,,
xNormal_p09000.vtp,0.9,73783,,
xNormal_p11000.vtp,1.1,65573,,
xNormal_p13000.vtp,1.3,67479,,
xNormal_p15000.vtp,1.5,54429,,
xNormal_p17000.vtp,1.7,51794,,
xNormal_p19000.vtp,1.9,53011,,
xNormal_p21000.vtp,2.1,55751,,
xNormal_p23000.vtp,2.3,49906,,
xNormal_p25000.vtp,2.5,50944,,
xNormal_p27000.vtp,2.7,119631,,
xNormal_p29000.vtp,2.9,146758,,
xNormal_p31000.vtp,3.1,135278,,
xNormal_p33000.vtp,3.3,147485,,
xNormal_p35000.vtp,3.5,83626,,
xNormal_p37000.vtp,3.7,85130,,
xNormal_p39000.vtp,3.9,85551,,
xNormal_p41000.vtp,4.1,52771,,
xNormal_p43000.vtp,4.3,51234,,
xNormal_p45000.vtp,4.5,49888,,
xNormal_p47000.vtp,4.7,48573,,
xNormal_p49000.vtp,4.9,47208,,
xNormal_p51000.vtp,5.1,45958,,
xNormal_p53000.vtp,5.3,42307,,
xNormal_p55000.vtp,5.5,27238,,
xNormal_p57000.vtp,5.7,18697,,
xNormal_p59000.vtp,5.9,18437,,
xNormal_p61000.vtp,6.1,17660,,
xNormal_p63000.vtp,6.3,17144,,
xNormal_p65000.vtp,6.5,16897,,
